Type,ID,Username,Password
1,2021CSM1001,sushant,sushant@123
1,2022AIM1002,ashutosh,ashutosh@123
1,2021CSM1003,mahendra,mahendra@123
1,2022AIM1004,manpreet,manpreet@123
1,2021CSM1005,rakesh,rakesh@123
1,2022AIM1006,protyay,protyay@123
1,2021CSM1007,abhilasha,abhilahsha@123
1,2022AIM1008,manini,manini@123
1,2021CSM1009,prathmesh,prathmesh@123
1,2022AIM1010,sagar,sagar@123
1,2021CSM1011,abhishek,abhishek@123
1,2022AIM1012,snehal,snehal@123
3,IIT1001,rohit,rohit@123
3,IIT1002,amrit,amrit@123
3,IIT1003,ritika,ritika@123
3,IIT1004,nabanita,nabanita@123
3,IIT1005,poonam,poonam@123
3,IIT1006,neha,neha@123
3,IIT1007,sandeep,sandeep@123
3,IIT1008,akshpreet,akshpreet@123
3,IIT1009,ramandeep,ramandeep@123
2,CSF1001,tarique,tarique@123
2,CSF1002,puneet,puneet@123
2,CSF1003,shweta,shweta@123
2,CSF1004,anil,anil@123
2,CSF1005,apurva,apurva@123
2,CSF1006,kalyan,kalyan@123
2,CSF1007,shrishendu,shrishendu@123
2,CSF1008,neeraj,neeraj@123
2,CSF1009,vishwanath,vishwanath@123
2,CSF1010,shashi,shashi@123
2,CSF1011,sujata,sujata@123
2,CSF1012,sudeepta,sudeepta@123
2,CSF1013,mukesh,mukesh@123
2,CSF1014,abhinav,abhinav@123
2,CSF1015,ramanathan,ramanathan@123
2,CSF1016,subrahmanyam,subrahmanyam@123
2,CSF1017,deepti,deepti@123
2,CSF1018,arti,arti@123
2,CSF1019,kaushik,kaushik@123
2,CSF1020,aashish,aashish@123
